,analysis_sample_rate,danceability,duration,end_of_fade_in,energy,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_familiarity,artist_hotttnesss,artist_latitude,artist_location,artist_longitude,artist_name,genre,release,song_hotttnesss,title,tag_top_1,tag_top_2,tag_top_3,tag_top_4,tag_top_5,tag_top_6,tag_top_7,tag_top_8,tag_top_9,tag_top_10,year
0,22050,0.0,218.93179,0.247,0.0,1,-11.197,0,218.932,92.198,4,0.5817937658450281,0.4019975433642836,,b'California - LA',,b'Casual',b'',b'Fear Itself',0.6021199899057548,"b""I Didn't Mean To""",hip hop,underground rap,g funk,alternative rap,gothic rock,west coast rap,rap,club dance,singer-songwriter,chill-out,0
1,22050,0.0,148.03546,0.148,0.0,6,-9.843,0,137.915,121.274,4,0.6306300375898077,0.4174996449709784,35.14968,"b'Memphis, TN'",-90.04892,b'The Box Tops',b'',b'Dimensions',,b'Soul Deep',blue-eyed soul,pop rock,blues-rock,beach music,soft rock,soul,classic rock,oldies,power pop,psychedelic rock,1969
2,22050,0.0,177.47546,0.282,0.0,8,-9.689,1,172.304,100.07,1,0.4873567909281477,0.34342837829688244,,b'',,b'Sonora Santanera',b'',b'Las Numero 1 De La Sonora Santanera',,b'Amor De Cabaret',salsa,cumbia,tejano,ranchera,latin pop,latin,tropical,instrumental,christmas music,boleros,0
3,22050,0.0,233.40363,0.0,0.0,0,-9.013,1,217.124,119.293,4,0.6303823341467806,0.4542311565706205,,"b'London, England'",,b'Adam Ant',b'',b'Friend Or Foe',,b'Something Girls',pop rock,new wave,dance rock,rock,new romantic,europop,beat,british pop,louisiana blues,gothic rock,1982
4,22050,0.0,209.60608,0.066,0.0,2,-4.501,1,198.699,129.738,4,0.6510456608317947,0.40172368550367865,,b'',,b'Gob',b'',b'Muertos Vivos',0.6045007385888197,b'Face the Ashes',pop punk,ska punk,breakcore,alternative metal,punk pop,grunge,rock,punk,punk revival,grindcore,2007
5,22050,0.0,267.7024,2.264,0.0,5,-9.323,1,254.27,147.782,3,0.5352927355118197,0.385470550555821,,b'',,b'Jeff And Sheri Easter',b'',b'Ordinary Day',,b'The Moon And I (Ordinary Day Album Version)',southern gospel,bluegrass,gospel,ballad,california,dance,country,beautiful,progressive,classic,0
6,22050,0.0,114.78159,0.096,0.0,1,-17.302,1,114.782,111.787,1,0.5564956019129572,0.2619411773808474,,b'Ohio',,b'Rated R',b'',b'Da Ghetto Psychic',,b'Keepin It Real (Skit)',breakbeat,dirty south rap,hip hop,electronic,trance,electro,rap,soul,united states,urban,0
7,22050,0.0,189.57016,0.319,0.0,4,-11.642,0,181.023,101.43,3,0.8011364469966873,0.6055071356905752,,"b'Burlington, Ontario, Canada'",,b'Tweeterfriendly Music',b'',b'Gin & Phonic',,b'Drop of Rain',post-hardcore,screamo,emo,hardcore,punk revival,rock,acoustic,emotional,pop,metal,0
8,22050,0.0,269.81832,5.3,0.0,4,-13.496,1,258.99,86.643,4,0.42666785706940524,0.33227574659906806,,b'',,b'Planet P Project',b'',b'Pink World',0.26586104921065007,b'Pink World',new wave,progressive rock,space rock,eurodance,hard rock,rock,techno,europop,80s,progressive,1984
9,22050,0.0,266.39628,0.084,0.0,7,-6.697,0,261.747,114.041,4,0.5505136978482137,0.42270564102939107,,b'',,b'Clp',b'',b'Superinstrumental',,b'Insatiable (Instrumental Version)',breakcore,miami bass,new rave,grime,breakbeat,hip hop,electro,techno,intelligent dance music,electronic,0
10,22050,0.0,218.77506,2.125,0.0,5,-10.021,0,207.012,146.765,1,0.3600311664643514,0.29626895431146333,35.21962,b'North Carolina',-80.01955,b'JennyAnyKind',b'',b'I Need You',0.0,b'Young Boy Blues',alternative rock,indie rock,rock,alternative pop rock,alternative,north carolina,united states,religious music,swamp rock,blues,0
11,22050,0.0,245.21098,0.357,0.0,7,-7.545,1,227.48,117.975,4,0.5451592956008632,0.35155586118563925,,"b'Wisner, LA'",,b'Wayne Watson',b'',b'The Way Home',0.26586104921065007,b'The Urgency (LP Version)',ccm,religious music,los angeles,christian rock,pop,contemporary christian,spiritual,inspirational,male vocalist,christian,0
12,22050,0.0,226.35057,0.0,0.0,9,-6.632,1,221.553,130.04,4,0.5775089743252977,0.3794821702804675,,b'',,b'Andy Andy',b'',b'Placer & Castigo',0.0,b'La Culpa',bachata,merengue,reggaeton,latin pop,spanish,relax,latin,moje standards,new york,,0
13,22050,0.0,191.84281,0.38,0.0,10,-7.75,0,188.424,137.334,1,0.08551204710857879,0.25193652476242323,,b'',,b'Bob Azzam',b'',b'Arrivederci',0.0,b'Auguri Cha Cha',chanson,latin jazz,soul jazz,soft rock,jazz funk,batucada,rare groove,pop rock,europop,future jazz,0
14,22050,0.0,307.3824,0.612,0.0,3,-8.346,1,296.658,125.197,3,0.7766758556845541,0.5530719914619753,,"b'Beverly Hills, CA'",,b'Lionel Richie',b'',b'Dancing On The Ceiling',,b'Tonight Will Be Alright',quiet storm,soft rock,pop,urban,adult contemporary,ballad,new jack swing,soundtrack,funk,singer,1986
15,22050,0.0,491.12771,0.0,0.0,7,-8.576,1,486.034,119.826,4,0.6364236449500698,0.4479354804795022,43.64856,"b'Toronto, Ontario, Canada'",-79.38533,b'Blue Rodeo',b'',b'Outskirts',0.4051157216913865,b'Floating',country rock,heartland rock,pop rock,folk rock,psychedelic rock,blues-rock,soft rock,rock,country,neo soul,1987
16,22050,0.0,228.5971,0.223,0.0,8,-16.11,1,217.426,127.756,5,0.4199431484349393,0.33080635685585685,37.16793,b'United States',-95.84502,b'Richard Souther',b'',b'Cross Currents',0.3347065490692206,b'High Tide',chill-out,smooth jazz,orchestra,jazz,celtic,new age,adult alternative,easy listening,ambient,electronica,0
17,22050,0.0,599.24853,1.193,0.0,6,-8.032,1,591.999,99.273,4,0.3632805711099885,0.30667609347902947,,b'',,b'Faiz Ali Faiz',b'',b'Panjtan Ka Ghulam',,b'Sohna Nee Sohna Data',qawwali,meditation,world music,world fusion,ethnic,spiritual,vocal,traditional,intense,tff rudolstadt,0
18,22050,0.0,290.29832,0.145,0.0,7,-5.271,1,285.605,150.062,4,0.7071997638379363,0.5134632897021558,,b'',,b'Tesla',b'',b'Gold',0.6841361912294903,b'Caught In A Dream',hard rock,heavy metal,blues-rock,classic rock,garage rock,rock,soft rock,tech house,progressive house,hair metal,2004
19,22050,0.0,165.69424,0.162,0.0,7,-6.787,1,157.391,138.331,4,0.32031437017067216,0.0,,b'',,b'lextrical',b'',b'Whatever Happened To Boredom?',0.0,b'Synthetic Dream',indietronica,lo-fi,experimental,instrumental,,,,,,,0
20,22050,0.0,151.84934,2.827,0.0,1,-15.221,1,146.199,86.186,3,0.39413853984589253,0.29153972708877773,34.31109,"b'Mineola, AR'",-94.02978,b'Jimmy Wakely',b'',b'1942-1952 Jimmy Wakely',,b'Broken-Down Merry-Go-Round',classic country,western swing,blues-rock,country music,blues,jazz,country,rock,cowboy,christmas music,0
21,22050,0.0,220.78649,0.206,0.0,11,-8.514,1,207.656,110.382,1,0.4898162689820407,0.3285530150180186,38.8991,b'Washington',-77.029,b'Alice Stuart',b'',b'All The Good Times',0.0,b'Kassie Jones',electric blues,blues,country blues,blues-rock,folk rock,singer-songwriter,acoustic blues,folk,country,acoustic,0
22,22050,0.0,269.58322,0.0,0.0,2,-8.05,1,256.168,111.874,4,0.6774204652262298,0.37825468551016656,49.80388,b'Dubai UAE',15.47491,b'Elena',b'',b'Un cafe_ setanta matins',0.3135621142479342,b'Setanta matins',uk garage,pop folk,jazz fusion,chalga,jazz,progressive house,pop punk,trance,techno,electronic,0
23,22050,0.0,207.77751,0.061,0.0,7,-4.264,1,204.696,166.862,4,0.839962768151037,0.5418889720336469,40.82624,"b'Morris Plains, NJ'",-74.47995,b'The Dillinger Escape Plan',b'',b'Miss Machine',0.6665278462297023,b'Setting Fire to Sleeping Giants',math-core,grindcore,hardcore punk,tech metal,punk metal,extreme metal,metalcore,heavy metal,death metal,hard rock,2004
24,22050,0.0,124.86485,0.0,0.0,10,-12.332,1,115.74,137.522,4,0.43541581815506936,0.3062422642462862,37.83721,"b'Nevada, MO'",-94.35868,b'SUE THOMPSON',b'',b'Sue Thompson - Her Very Best',0.4952936212921635,b'James (Hold The Ladder Steady)',pop rock,soft rock,blues-rock,doo-wop,chanson,oldies,disco,rock,classic rock,ska,1985
25,22050,0.0,225.09669,0.0,0.0,7,-5.908,1,225.097,164.672,1,0.6090637000310501,0.3636513650591166,,b'',,b'Five Bolt Main',b'',b'Live',0.37598430150044215,b'Made Like This (Live)',post-grunge,alternative metal,nu metal,hard rock,alternative rock,emo,rock,metal,alternative,indie,0
26,22050,0.0,338.31138,0.0,0.0,6,-6.486,0,338.311,125.006,4,0.5505136978482137,0.42270564102939107,,b'',,b'Clp',b'',b'Strictly Confidential',,b'Superconfidential',breakcore,miami bass,new rave,grime,breakbeat,hip hop,electro,techno,intelligent dance music,electronic,0
27,22050,0.0,186.48771,1.083,0.0,5,-4.516,1,175.467,90.022,1,0.4597971288376104,0.3499126116745628,32.67828,b'Georgia',-83.22295,b'Tim Wilson',b'',b'The Real Twang Thang',,b'I Think My Wife Is Running Around On Me (Taco Hell)',filk,comedy,spoken word,country,funny,stand-up comedy,humorous,country pop,american,georgia,2005
28,22050,0.0,168.25424,0.2,0.0,8,-9.616,1,161.89,127.025,4,0.5888271005018058,0.3796711247498673,40.79195,"b'New York, NY [Spanish Harlem]'",-73.94512,b'Willie Bobo',b'',"b""Willie Bobo's Finest Hour""",,b'Spanish Grease',latin jazz,jazz funk,boogaloo,soul jazz,salsa,acid jazz,jazz,mambo,deep house,samba,1997
29,22050,0.0,156.39465,0.562,0.0,8,-18.051,1,150.634,95.957,3,0.3964552539172961,0.2992303679293693,40.73197,"b'Newark, NJ'",-74.17418,b'Faye Adams',b'',b'Shake A Hand',0.0,b'Crazy Mixed Up World',jump blues,east coast blues,piano blues,blues,r&b,blues-rock,delta blues,german pop,ballad,jazz,1961
30,22050,0.0,342.56934,0.063,0.0,6,-11.939,1,333.154,110.189,3,0.7068276713044582,0.4161730646266773,41.88415,b'Chicago',-87.63241,b'Terry Callier',b'',b'Occasional Rain',0.4137398358601097,b'Do You Finally Need A Friend',soul jazz,future jazz,smooth jazz,acid jazz,jazz funk,downtempo,chicago blues,jazz,easy listening,deep house,1972
31,22050,0.0,484.62322,28.172,0.0,4,-15.335,0,480.363,138.007,4,0.5605579839038146,0.45278947675222264,27.94017,b'Brandon',-82.32547,b'John Wesley',b'',b'The Emperor Falls',0.3775316449767025,b'The Emperor Falls',disco,calypso,reggae,hard trance,dub,progressive house,progressive trance,art rock,happy hardcore,italian disco,0
32,22050,0.0,164.80608,0.0,0.0,10,-10.922,1,156.177,130.1,1,0.6408071019636729,0.4182165181949368,40.7038,"b'Queens, NY'",-73.83168,b'The Shangri-Las',b'',b'Best of The Shangri-Las',0.4432913119053975,b'Twist and Shout',doo-wop,ballad,pop rock,rock steady,soft rock,blues-rock,all-female,disco,brill building pop,rock,1964
33,22050,0.0,133.32853,0.0,0.0,4,-9.983,1,130.009,160.839,1,0.5237146369702328,0.3846110839616365,30.08615,"b'Beaumont, TX'",-94.10158,b'Billie Jo Spears',b'',b'20 Of Her Best',0.0,b'It Makes No Difference Now',classic country,motown,oldies,rockabilly,traditional country,country pop,country,united states,female vocalist,singer-songwriter,1992
34,22050,0.0,173.66159,0.0,0.0,7,-7.762,1,164.908,41.993,1,0.7936050803712417,0.42631795640769016,,"b'Houston, TX'",,"b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",b'',b'Who Is Mike Jones?',,b'Laws Patrolling (Album Version)',rap,hip hop,classic,hardcore rap,southern rap,club,reggaeton,dub,instrumental,soundtrack,0
35,22050,0.0,313.12934,0.0,0.0,9,-9.512,1,307.688,189.646,3,0.5015447771039371,0.39273367554668775,,b'',,b'Sierra Maestra',b'',b'Tibiri Tabara',,b'\xc2\xbfD\xc3\xb3nde va Chichi?',charanga,salsa,latin jazz,rumba,bolero,world music,latin,easy listening,jazz,tropical,1997
36,22050,0.0,450.84689,0.467,0.0,4,-9.063,0,426.104,130.586,4,0.8093237930019529,0.48801984168567314,29.42449,"b'San Antonio, TX'",-98.49462,b'Butthole Surfers',b'',b'Piouhgd + Widowermaker!',0.593943075901947,"b'Barking Dogs (From ""Piouhgd"")'",noise rock,experimental,punk,psychedelic,college rock,american underground,art rock,california,heavy metal,heavy,0
37,22050,0.0,303.09832,0.067,0.0,8,-8.879,0,294.818,128.292,4,0.632559542284651,0.41168895978577885,,b'',,b'Despina Vandi',b'',b'Profities',,b'OUTE ENA EFHARISTO',dance pop,british pop,modern laika,eurodance,club,techno,dance,trance,electro,hip hop,0
38,22050,0.0,128.83546,0.0,0.0,3,-17.699,1,121.423,90.932,3,0.5975412179723806,0.38265197113973687,,b'',,b'Javier Navarrete',b'',b'Cracks',0.3943948561005826,b'Midnight Swim',orchestra,chill-out,soundtrack,modern classical,classical,electronic,composer,instrumental,contemporary classical music,ost,0
39,22050,0.0,456.30649,0.241,0.0,1,-19.478,1,451.315,89.667,4,0.49544592177023467,0.294861261887382,,b'',,b'Jacob Young',b'',b'Pieces Of Time',0.0,b'In A Subtle Way',cool jazz,free jazz,soul jazz,country rock,jazz,contemporary jazz,rock,electro,hip hop,alternative rock,0
40,22050,0.0,198.73914,0.0,0.0,7,-7.469,1,193.016,115.061,4,0.5278650761586818,0.3931219335710068,34.05349,b'California - LA',-118.24532,"b""Scarlet's Remains""",b'',b'The Palest Grey',0.450992311636255,b'Spin',gothic metal,deathrock,horror punk,neofolk,gothic rock,rock,doom metal,new wave,gothic,punk,2007
41,22050,0.0,95.68608,0.0,0.0,2,-2.022,1,87.806,115.887,4,0.6686745328613157,0.4675384440100101,42.33168,"b'Detroit, MI'",-83.04792,b'The Suicide Machines',b'',b'A Match & Some Gasoline',0.5287824809425877,b'Burning In The Aftermath',ska punk,post-grunge,skacore,ska,skate punk,oi,pop punk,punk pop,alternative pop rock,punk revival,2003
42,22050,0.0,271.49016,0.171,0.0,9,-10.358,0,263.784,139.333,1,0.8148296561331122,0.7357656929506414,51.50632,"b'London, England'",-0.12714,b'The Rolling Stones',b'',"b""Jump Back - The Best Of The Rolling Stones_ '71-'93""",0.8344926198909054,b'Angie (1993 Digital Remaster)',blues,hard rock,rock,england,london,beat,new wave,psychedelic,soundtrack,classic,0
43,22050,0.0,226.66404,0.311,0.0,0,-12.716,1,219.51,117.271,4,0.4823560425909108,0.3500785789894733,,b'',,b'Roberto Torres',b'',b'Lo Mejor con La Orq. Broadway',0.0,b'Sabor Guajiro',salsa,charanga,vallenato,latin jazz,samba,world music,latin,united states,jazz,world,0
44,22050,0.0,190.48444,0.258,0.0,3,-15.663,1,177.029,102.428,4,0.6610801676039384,0.4427658420289504,35.91463,"b'Chapel Hill, NC'",-79.05661,b'Loudon Wainwright III',b'',b'Grown Man',0.5101193140330347,b'Human Cannonball',modern rock,singer-songwriter,folk,rock,vocal,contemporary folk,acoustic,guitar,song writer,funny,1995
45,22050,0.0,277.78567,0.24,0.0,2,-6.944,1,267.453,89.984,4,0.7011808736075507,0.4666288889016846,34.36401,"b'Oxford, MS'",-89.51877,b'R.L. Burnside',b'',b'A Bothered Mind',0.48213758506501503,b'Glory Be',delta blues,blues-rock,electric blues,blues,juke joint blues,chicago blues,texas blues,breakbeat,rock,downtempo,2004
46,22050,0.0,248.78975,0.183,0.0,1,-7.805,1,246.19,116.721,4,0.7337989404362274,0.544257505724526,32.77815,"b'Dallas, TX'",-96.7954,b'Stevie Ray Vaughan',b'',b'Greatest Hits',,b'Crossfire',texas blues,blues,blues-rock,modern electric blues,rock,electric texas blues,guitar,instrumental,jam,acoustic,1992
47,22050,0.0,195.3171,0.0,0.0,7,-10.7,1,187.617,123.142,4,0.5906929179471623,0.45281783769711387,,b'',,b'John Hammond',b'',b'Bluesman',,"b""I Can't Be Satisfied""",blues,blues-rock,motown,chicago blues,rockabilly,stoner rock,folk rock,soft rock,jazz,singer-songwriter,2002
48,22050,0.0,175.72526,0.734,0.0,0,-10.93,1,168.699,141.919,4,0.6653221619060184,0.3942171989010042,,b'',,b'Casiotone For The Painfully Alone',b'',b'Etiquette',0.7858922883883538,b'Nashville Parthenon',trip hop,indietronica,electro,neofolk,indie rock,folktronica,downtempo,electronic,electropop,glitch,2006
49,22050,0.0,217.23383,1.042,0.0,10,-9.493,0,213.496,95.596,4,0.5040756699303163,0.3345773601190987,52.51607,"b'Berlin, Germany'",13.37698,b'Ec8or',b'',b'Ec8or',,b'Cocain Ducks',hardcore techno,digital hardcore,breakcore,industrial metal,gabba,synth punk,nintendocore,trip hop,electronica,techno,1995
50,22050,0.0,344.05832,0.068,0.0,11,-9.253,1,335.029,154.953,1,0.717670524728552,0.4793084593382274,,"b'New York, NY'",,b'The New York Dolls',b'',b'Too Much Too Soon',0.5616924111789523,b'Human Being',glam rock,hard rock,protopunk,rock 'n roll,blues-rock,glam metal,garage rock,rock,rockabilly,stoner rock,1974
51,22050,0.0,251.42812,0.071,0.0,7,-12.009,1,237.598,86.091,5,0.6697261875661445,0.42791424698295477,-23.56287,"b'Sao Paulo, Brazil'",-46.65466,b'Eliane Elias',b'',b'Bossa Nova Stories',0.4348380902608562,b'The More I See You',brazilian jazz,latin jazz,hard bop,jazz funk,vocal jazz,cool jazz,free improvisation,smooth jazz,free jazz,jazz,2009
52,22050,0.0,269.7922,0.218,0.0,7,-11.043,1,257.416,90.218,4,0.5697411522818971,0.41224060053560735,,"b'South Jamaica, Queens'",,b'Lost Boyz',b'',b'Love_ Peace & Nappiness',0.4051157216913865,b'Certain Things We Do',gangster rap,g funk,hip hop,east coast hip hop,rap,west coast rap,united states,new york,underground hip hop,east coast rap,1997
53,22050,0.0,206.05342,0.0,0.0,11,-11.506,0,206.053,133.144,1,0.6400483571565447,0.40439264015477133,34.05349,"b'Los Angeles, CA'",-118.24532,b'The Germs',b'',b'Germicide',,b'Forming',rock,punk,los angeles,grunge,southern rock,hardcore punk,math rock,power pop,garage rock,psychedelic rock,1977
54,22050,0.0,190.04036,0.0,0.0,2,-14.179,1,176.924,205.317,4,0.3977728757878008,0.38347574490669173,,b'',,b'Yamandu Costa',b'',b'Mafu\xc3\xa1',,b'Mafu\xc3\xa1',brazilian jazz,brazilian pop music,choro,jazz,brazilian,instrumental,brazil,acoustic guitar,folk,latin,0
55,22050,0.0,241.162,0.549,0.0,9,-8.531,1,230.342,180.149,4,0.643182772912233,0.500691340913453,,"b'Middlesbrough, England'",,b'Chris Rea',b'',b'The Road To Hell Part 2',0.767727748373397,b'Driving Home For Christmas',soft rock,blues-rock,pop rock,country rock,singer-songwriter,europop,disco,rock,ballad,chill-out,1986
